Orthogroup	CquinquefasciatusJHB2020	AsinensisChina
OG0000249	CQUJHB009233, CQUJHB007489, CQUJHB002025, CQUJHB001010, CQUJHB009190	ASIC016050, ASIC000958
OG0000250	CQUJHB012300	ASIC004082
OG0000250	CQUJHB006421	ASIC004081
OG0000252	CQUJHB005253, CQUJHB008240, CQUJHB011189, CQUJHB017858	ASIC005046
OG0000252	CQUJHB008290	ASIC005048
OG0000253	CQUJHB011918, CQUJHB003161	ASIC004393, ASIC004389, ASIC004392, ASIC015664, ASIC015663, ASIC015661, ASIC015660, ASIC016323, ASIC015662
OG0000254	CQUJHB009978	ASIC005504
OG0000255	CQUJHB003529	ASIC020208, ASIC020207, ASIC020205, ASIC020206
OG0000256	CQUJHB009160	ASIC012493, ASIC012494
OG0000256	CQUJHB014478	ASIC012491, ASIC012495
OG0000257	CQUJHB010739, CQUJHB009502, CQUJHB000584, CQUJHB000689, CQUJHB000541, CQUJHB008553, CQUJHB004547, CQUJHB014397, CQUJHB008765	ASIC005738
OG0000260	CQUJHB020421, CQUJHB004409, CQUJHB006012, CQUJHB011286	ASIC010061, ASIC010060, ASIC010059, ASIC010058
OG0000265	CQUJHB003184	ASIC007840
OG0000266	CQUJHB002351	ASIC010738
OG0000266	CQUJHB011998	ASIC004862, ASIC004863
OG0000267	CQUJHB017125	ASIC021746
OG0000268	CQUJHB012623	ASIC007410, ASIC007406
OG0000268	CQUJHB010904	ASIC007405
OG0000269	CQUJHB013165, CQUJHB003189	ASIC006168
OG0000270	CQUJHB003727, CQUJHB017973, CQUJHB003318	ASIC018039
OG0000271	CQUJHB018009	ASIC006601
OG0000272	CQUJHB005415, CQUJHB017192	ASIC015539
OG0000273	CQUJHB002335	ASIC011512
OG0000273	CQUJHB008927	ASIC011515
OG0000274	CQUJHB003245, CQUJHB014187, CQUJHB000081	ASIC019686
OG0000274	CQUJHB007666	ASIC020495
