Orthogroup	AfunestusAfunGA1	CquinquefasciatusJHB2020
OG0000104	AFUN2_001037	CQUJHB003501
OG0000104	AFUN2_011196, AFUN2_006302	CQUJHB016210, CQUJHB015480, CQUJHB006103, CQUJHB017990, CQUJHB017746, CQUJHB005521, CQUJHB012378, CQUJHB001763
OG0000107	AFUN2_001412, AFUN2_012650	CQUJHB018415, CQUJHB004852, CQUJHB009068, CQUJHB013239, CQUJHB016501, CQUJHB015111, CQUJHB013703, CQUJHB006294, CQUJHB013989, CQUJHB013568, CQUJHB000838, CQUJHB001925
OG0000108	AFUN2_013458	CQUJHB012501, CQUJHB014940, CQUJHB002184, CQUJHB006363
OG0000109	AFUN2_009795	CQUJHB017035
OG0000109	AFUN2_004467	CQUJHB000019
OG0000109	AFUN2_002263	CQUJHB007563
OG0000111	AFUN2_012122, AFUN2_010977, AFUN2_001513, AFUN2_001833, AFUN2_007611	CQUJHB001127, CQUJHB016273
OG0000114	AFUN2_001369, AFUN2_010132	CQUJHB008130, CQUJHB012994
OG0000114	AFUN2_006701	CQUJHB001438, CQUJHB002918, CQUJHB003734
OG0000115	AFUN2_007755	CQUJHB014380
OG0000116	AFUN2_012892	CQUJHB007929
OG0000116	AFUN2_001632, AFUN2_011292	CQUJHB009840
OG0000116	AFUN2_005701	CQUJHB015910
OG0000119	AFUN2_008133	CQUJHB001620
OG0000119	AFUN2_003288	CQUJHB002189, CQUJHB015704, CQUJHB017923, CQUJHB014370, CQUJHB011823, CQUJHB009096, CQUJHB000195, CQUJHB004701, CQUJHB012571
OG0000120	AFUN2_014360	CQUJHB006803
OG0000120	AFUN2_014310, AFUN2_007600	CQUJHB014331, CQUJHB001450
OG0000127	AFUN2_007961, AFUN2_014650, AFUN2_010892	CQUJHB008722, CQUJHB006654, CQUJHB003293, CQUJHB000740, CQUJHB013009, CQUJHB013825, CQUJHB003231, CQUJHB009687, CQUJHB007227, CQUJHB017577, CQUJHB005246, CQUJHB012007, CQUJHB016127, CQUJHB003905
OG0000128	AFUN2_013941	CQUJHB011093
OG0000128	AFUN2_007884	CQUJHB017854
OG0000129	AFUN2_004369, AFUN2_004902, AFUN2_001390	CQUJHB000384, CQUJHB003430, CQUJHB014096
OG0000129	AFUN2_011235, AFUN2_004109	CQUJHB016178, CQUJHB012226
OG0000130	AFUN2_011184	CQUJHB016267
OG0000130	AFUN2_008453, AFUN2_009668	CQUJHB001771
OG0000131	AFUN2_005171	CQUJHB000645
OG0000131	AFUN2_011906	CQUJHB004459
OG0000131	AFUN2_003726	CQUJHB010920
OG0000131	AFUN2_006692	CQUJHB014041
OG0000132	AFUN2_007055, AFUN2_004597	CQUJHB008636
OG0000132	AFUN2_005157	CQUJHB010862
OG0000132	AFUN2_003612	CQUJHB003091
OG0000133	AFUN2_010213	CQUJHB009822
OG0000133	AFUN2_001924, AFUN2_013209	CQUJHB016449
OG0000134	AFUN2_008047, AFUN2_001568	CQUJHB012326
OG0000135	AFUN2_011084	CQUJHB008581
OG0000136	AFUN2_003409	CQUJHB007955, CQUJHB006760, CQUJHB009839, CQUJHB008282
OG0000136	AFUN2_000794	CQUJHB003509, CQUJHB002833, CQUJHB013970
OG0000141	AFUN2_004272, AFUN2_006156	CQUJHB013589, CQUJHB004400, CQUJHB002761, CQUJHB004199, CQUJHB003761, CQUJHB015077, CQUJHB001493, CQUJHB017741, CQUJHB005542
OG0000142	AFUN2_002023, AFUN2_002866	CQUJHB011887
OG0000142	AFUN2_007901	CQUJHB002040
OG0000142	AFUN2_008099	CQUJHB003927
OG0000143	AFUN2_001347	CQUJHB002965
OG0000143	AFUN2_004552	CQUJHB006194
OG0000144	AFUN2_007342	CQUJHB015003, CQUJHB011281, CQUJHB012034, CQUJHB003913, CQUJHB003921
OG0000146	AFUN2_008600, AFUN2_001333, AFUN2_000602	CQUJHB005895, CQUJHB003363, CQUJHB015207
OG0000147	AFUN2_001243, AFUN2_006652	CQUJHB005161, CQUJHB000556, CQUJHB001564, CQUJHB001839
OG0000148	AFUN2_006078	CQUJHB017061
OG0000149	AFUN2_007018	CQUJHB010028
OG0000149	AFUN2_007305	CQUJHB014966
OG0000149	AFUN2_003087	CQUJHB017015, CQUJHB010834
OG0000150	AFUN2_013472	CQUJHB006439
OG0000151	AFUN2_008586	CQUJHB018327
OG0000152	AFUN2_004036	CQUJHB014990
OG0000152	AFUN2_007248, AFUN2_012516	CQUJHB009136
OG0000154	AFUN2_012942, AFUN2_007474, AFUN2_001817	CQUJHB008696, CQUJHB017642, CQUJHB010993, CQUJHB014811, CQUJHB014899
OG0000155	AFUN2_011178, AFUN2_006679	CQUJHB007333, CQUJHB008665, CQUJHB002705, CQUJHB004511, CQUJHB005859, CQUJHB001497
OG0000157	AFUN2_002461	CQUJHB001379
OG0000161	AFUN2_009616	CQUJHB017743
OG0000161	AFUN2_013883	CQUJHB000076
OG0000162	AFUN2_001603	CQUJHB009418
OG0000162	AFUN2_008191	CQUJHB020435, CQUJHB014569
OG0000162	AFUN2_004390	CQUJHB004329
OG0000163	AFUN2_009739	CQUJHB015427
OG0000163	AFUN2_005717	CQUJHB001490, CQUJHB017982, CQUJHB004125, CQUJHB015576
OG0000163	AFUN2_004668	CQUJHB004810, CQUJHB003658
OG0000164	AFUN2_007065	CQUJHB011226
OG0000164	AFUN2_003491	CQUJHB016036
OG0000164	AFUN2_014641	CQUJHB012144, CQUJHB018124
OG0000164	AFUN2_008297	CQUJHB012545
OG0000165	AFUN2_004493	CQUJHB004809
OG0000165	AFUN2_008088	CQUJHB001386
OG0000165	AFUN2_007300, AFUN2_012709	CQUJHB008494
OG0000166	AFUN2_013647	CQUJHB004489
OG0000166	AFUN2_001188	CQUJHB009503, CQUJHB000077
OG0000168	AFUN2_011437	CQUJHB009735
OG0000171	AFUN2_006837	CQUJHB005596
OG0000171	AFUN2_013379	CQUJHB006525
OG0000172	AFUN2_004764	CQUJHB004762
OG0000172	AFUN2_014173	CQUJHB006283
OG0000172	AFUN2_011072	CQUJHB003020
OG0000173	AFUN2_006638	CQUJHB013713
OG0000173	AFUN2_006309, AFUN2_013274, AFUN2_004451	CQUJHB001093, CQUJHB007201
OG0000174	AFUN2_000386	CQUJHB012327
OG0000174	AFUN2_011578	CQUJHB009037, CQUJHB004035
