Orthogroup	AfunestusAfunGA1	LlongipalpisASM
OG0000117	AFUN2_007418, AFUN2_007392, AFUN2_004666, AFUN2_000918, AFUN2_000628, AFUN2_011841, AFUN2_002246, AFUN2_012483, AFUN2_013717, AFUN2_004183, AFUN2_011147, AFUN2_009679, AFUN2_007034, AFUN2_014579, AFUN2_013280	LOC129796173, LOC129789407, LOC129796171, LOC129789263, LOC129788638
OG0000120	AFUN2_014360, AFUN2_014310, AFUN2_007600, AFUN2_000895	LOC129795901, LOC129797227
OG0000124	AFUN2_012265, AFUN2_012679, AFUN2_002887, AFUN2_011110	LOC129786906
OG0000128	AFUN2_009017, AFUN2_013941	LOC129794451, LOC129794450
OG0000128	AFUN2_007884	LOC129794553, LOC129795542, LOC129795535
OG0000129	AFUN2_004369, AFUN2_004902, AFUN2_001390, AFUN2_011235, AFUN2_004109	LOC129797028
OG0000130	AFUN2_011184, AFUN2_008453, AFUN2_009668	LOC129795831, LOC129797298
OG0000131	AFUN2_005171	LOC129792347
OG0000131	AFUN2_011906, AFUN2_003726	LOC129797128
OG0000131	AFUN2_006692	LOC129792345
OG0000132	AFUN2_007055, AFUN2_004597, AFUN2_005157, AFUN2_003612	LOC129794613
OG0000133	AFUN2_010213, AFUN2_005015, AFUN2_001924, AFUN2_013209	LOC129795866, LOC129794696
OG0000134	AFUN2_012800, AFUN2_008047, AFUN2_001568	LOC129792867
OG0000135	AFUN2_011084	LOC129786134
OG0000136	AFUN2_003409, AFUN2_000794	LOC129797461, LOC129792712, LOC129794643, LOC129788901
OG0000142	AFUN2_002023, AFUN2_002866, AFUN2_007901	LOC129792316, LOC129793845
OG0000142	AFUN2_008099	LOC129797567
OG0000143	AFUN2_001347, AFUN2_004552	LOC129791170, LOC129789375, LOC129796631, LOC129797016, LOC129795158
OG0000144	AFUN2_007342	LOC129787998
OG0000146	AFUN2_008600, AFUN2_001333, AFUN2_000602	LOC129797766, LOC129797769, LOC129797768
OG0000147	AFUN2_001243, AFUN2_006652	LOC129794463, LOC129794464, LOC129795792, LOC129791878, LOC129794470
OG0000148	AFUN2_006078	LOC129790546
OG0000150	AFUN2_013472	LOC129796012, LOC129794490, LOC129793766, LOC129794455, LOC129794453, LOC129794454, LOC129793045, LOC129794465, LOC129787861, LOC129795803, LOC129788664, LOC129789815, LOC129789262, LOC129792961, LOC129794538, LOC129795599, LOC129795594, LOC129795597, LOC129787024, LOC129787028, LOC129794960, LOC129795247, LOC129795605, LOC129786474, LOC129796164
OG0000151	AFUN2_008586	LOC129787141, LOC129787139, LOC129787137, LOC129787138, LOC129787316, LOC129788322, LOC129794423, LOC129794422, LOC129787140, LOC129791519, LOC129796677, LOC129794556, LOC129795292, LOC129792484, LOC129792407, LOC129787123, LOC129794546, LOC129794547, LOC129787135, LOC129787132, LOC129787133
OG0000152	AFUN2_004036	LOC129794238
OG0000152	AFUN2_007248, AFUN2_012516	LOC129787698
OG0000154	AFUN2_012942, AFUN2_007474, AFUN2_001817	LOC129791038
OG0000157	AFUN2_002461	LOC129793002
OG0000160	AFUN2_013760, AFUN2_000560, AFUN2_005480, AFUN2_009497, AFUN2_007254	LOC129797691, LOC129797713, LOC129786217
OG0000161	AFUN2_009616	LOC129794572
OG0000161	AFUN2_013883	LOC129790631
OG0000162	AFUN2_001603, AFUN2_008191, AFUN2_004390	LOC129792306
OG0000163	AFUN2_009739, AFUN2_005717, AFUN2_004668	LOC129793077, LOC129787054, LOC129793078
OG0000164	AFUN2_007065	LOC129788007
OG0000164	AFUN2_003491, AFUN2_014641, AFUN2_008297	LOC129786795
OG0000165	AFUN2_004493, AFUN2_008088, AFUN2_007300, AFUN2_012709	LOC129785838
OG0000166	AFUN2_013647, AFUN2_001188	LOC129793375, LOC129794220, LOC129793372
OG0000168	AFUN2_011437	LOC129794488, LOC129790101, LOC129789274, LOC129792331, LOC129791920, LOC129786930, LOC129797845, LOC129789265, LOC129791561, LOC129796576, LOC129793681, LOC129794571, LOC129794306, LOC129787707, LOC129789113, LOC129791255, LOC129787192, LOC129794567, LOC129787033, LOC129794523, LOC129791763, LOC129795621, LOC129796824, LOC129786913
OG0000171	AFUN2_006837, AFUN2_013379	LOC129795354, LOC129794700, LOC129794677, LOC129794701, LOC129795225, LOC129795227, LOC129794699, LOC129795228, LOC129795229, LOC129795541, LOC129794504, LOC129795205, LOC129795346
OG0000172	AFUN2_004764, AFUN2_014173, AFUN2_011072	LOC129796083
OG0000173	AFUN2_006638, AFUN2_004995, AFUN2_006309, AFUN2_013274, AFUN2_004451	LOC129796378, LOC129791724, LOC129796377, LOC129787463
OG0000174	AFUN2_000386, AFUN2_011578	LOC129785929
OG0000176	AFUN2_004735, AFUN2_012660, AFUN2_007793, AFUN2_007571, AFUN2_010883, AFUN2_001360, AFUN2_006691, AFUN2_006097	LOC129787791, LOC129788000
OG0000183	AFUN2_006554, AFUN2_005817, AFUN2_013925, AFUN2_007926	LOC129786975, LOC129786974
OG0000184	AFUN2_012600, AFUN2_009129, AFUN2_006403	LOC129794345
OG0000187	AFUN2_008775	LOC129796892
OG0000188	AFUN2_002434	LOC129786978
OG0000189	AFUN2_010394	LOC129787889
OG0000189	AFUN2_002979, AFUN2_009982	LOC129787087
OG0000190	AFUN2_013220	LOC129790672
OG0000190	AFUN2_007361, AFUN2_014239	LOC129789849
OG0000192	AFUN2_002573	LOC129789885
OG0000192	AFUN2_010718	LOC129791401
OG0000192	AFUN2_006065	LOC129789886
OG0000193	AFUN2_010552, AFUN2_009366, AFUN2_003838, AFUN2_011367	LOC129791916, LOC129788591, LOC129786638
OG0000194	AFUN2_001454, AFUN2_002991, AFUN2_008119	LOC129795950
OG0000196	AFUN2_005920	LOC129795528, LOC129795532, LOC129794832, LOC129789213, LOC129790781, LOC129791275, LOC129789195, LOC129786848, LOC129794519, LOC129789210, LOC129789868, LOC129789795
OG0000200	AFUN2_008798	LOC129796145
OG0000200	AFUN2_010360, AFUN2_014432	LOC129786068
OG0000201	AFUN2_004882, AFUN2_007662, AFUN2_003280	LOC129792426, LOC129792425, LOC129792423
OG0000202	AFUN2_012722, AFUN2_013904, AFUN2_001437	LOC129795977
OG0000204	AFUN2_005886, AFUN2_004049	LOC129790266
OG0000206	AFUN2_009572	LOC129791163
OG0000206	AFUN2_000978	LOC129791164
OG0000207	AFUN2_000379, AFUN2_002113	LOC129791699
OG0000208	AFUN2_000748, AFUN2_013487, AFUN2_002391	LOC129796425
OG0000209	AFUN2_001039	LOC129787514, LOC129785969
OG0000217	AFUN2_005144	LOC129790202
OG0000217	AFUN2_003295	LOC129790328
OG0000217	AFUN2_000967	LOC129793020
OG0000218	AFUN2_001352, AFUN2_014112, AFUN2_007094	LOC129795659
OG0000220	AFUN2_004984, AFUN2_013644, AFUN2_008743	LOC129787563
OG0000222	AFUN2_008952, AFUN2_002413	LOC129788692
OG0000223	AFUN2_006017, AFUN2_002196, AFUN2_011073, AFUN2_009640, AFUN2_001947	LOC129786636
OG0000224	AFUN2_004727, AFUN2_006433	LOC129786419
OG0000225	AFUN2_013899, AFUN2_005712, AFUN2_007468	LOC129797834, LOC129797833
OG0000229	AFUN2_002725, AFUN2_001410, AFUN2_012986	LOC129787399, LOC129793458
OG0000231	AFUN2_014167, AFUN2_001796	LOC129794015
OG0000232	AFUN2_001279, AFUN2_004132	LOC129791885
OG0000233	AFUN2_005591, AFUN2_009669	LOC129788486, LOC129787862, LOC129786858, LOC129786703, LOC129786707, LOC129786861, LOC129794816, LOC129791369
OG0000234	AFUN2_006786, AFUN2_005910, AFUN2_014325	LOC129793719, LOC129790671
OG0000235	AFUN2_000576, AFUN2_003102, AFUN2_003000	LOC129790399, LOC129790400
OG0000236	AFUN2_012443, AFUN2_002078	LOC129792513, LOC129796101, LOC129796113, LOC129791232, LOC129791233, LOC129796111, LOC129796105, LOC129795313
OG0000237	AFUN2_014509, AFUN2_005130, AFUN2_010795	LOC129786679, LOC129789236, LOC129786907, LOC129786678, LOC129786674, LOC129786673, LOC129791926, LOC129796314, LOC129789908, LOC129786865, LOC129786875, LOC129786873
OG0000244	AFUN2_005802, AFUN2_006054	LOC129788572
OG0000245	AFUN2_014246, AFUN2_010459, AFUN2_014309	LOC129788329, LOC129791448, LOC129788328
OG0000248	AFUN2_010809, AFUN2_011791	LOC129790447
OG0000250	AFUN2_003687	LOC129791946
OG0000250	AFUN2_007149, AFUN2_003179	LOC129792061
OG0000254	AFUN2_009334, AFUN2_013341	LOC129794727, LOC129794738
OG0000259	AFUN2_007312	LOC129792396
OG0000259	AFUN2_009415, AFUN2_000528, AFUN2_001338, AFUN2_013898, AFUN2_011804	LOC129789876, LOC129791517
OG0000265	AFUN2_009281, AFUN2_011549, AFUN2_003921	LOC129794745
OG0000266	AFUN2_000459, AFUN2_004367, AFUN2_008216	LOC129788826
OG0000267	AFUN2_006831, AFUN2_013327, AFUN2_007744	LOC129792282, LOC129787468, LOC129787465, LOC129787466, LOC129787467, LOC129792219, LOC129787464
OG0000268	AFUN2_009239, AFUN2_010803, AFUN2_010441	LOC129790334, LOC129790344
OG0000269	AFUN2_002119	LOC129786292
OG0000270	AFUN2_004500, AFUN2_005657, AFUN2_001828	LOC129795988
OG0000271	AFUN2_007927, AFUN2_011088, AFUN2_001591, AFUN2_004527	LOC129789622
OG0000272	AFUN2_008265, AFUN2_012900	LOC129792269
OG0000273	AFUN2_001579, AFUN2_004573, AFUN2_012480	LOC129794573, LOC129794527, LOC129794600
OG0000274	AFUN2_009686, AFUN2_013179	LOC129788675, LOC129795658, LOC129788672, LOC129795638
OG0000277	AFUN2_013863	LOC129791521
OG0000278	AFUN2_006737, AFUN2_010216, AFUN2_002080	LOC129786521, LOC129791056, LOC129791052
OG0000280	AFUN2_014275, AFUN2_012254	LOC129794053
OG0000286	AFUN2_002229, AFUN2_001601	LOC129786965
OG0000289	AFUN2_008782, AFUN2_008797	LOC129789651, LOC129789648, LOC129789646
OG0000290	AFUN2_001948, AFUN2_000760, AFUN2_006244	LOC129794578
OG0000291	AFUN2_003869	LOC129796116
OG0000291	AFUN2_005713	LOC129791815
OG0000292	AFUN2_008562, AFUN2_003827, AFUN2_006814	LOC129789397
OG0000293	AFUN2_001356, AFUN2_000358	LOC129794823, LOC129788774
OG0000294	AFUN2_012955	LOC129789645
OG0000294	AFUN2_012574	LOC129789635
OG0000296	AFUN2_010688, AFUN2_014118	LOC129789943
OG0000297	AFUN2_006972, AFUN2_004085	LOC129791271, LOC129795319, LOC129790452, LOC129793248
OG0000299	AFUN2_007111, AFUN2_010458	LOC129797703
OG0000302	AFUN2_001375, AFUN2_001607	LOC129794019, LOC129794016
OG0000303	AFUN2_004936, AFUN2_011645	LOC129786927
OG0000304	AFUN2_011754, AFUN2_006099	LOC129788607
OG0000304	AFUN2_012365	LOC129788353
OG0000305	AFUN2_004178	LOC129788936
OG0000306	AFUN2_011531, AFUN2_002476, AFUN2_011005	LOC129792581
