Orthogroup	AdirusWRAIR2	Aalbopictus_AalbF5
OG0000260	ADIR015800, ADIR015801, ADIR015802, ADIR015799, ADIR015803	LOC109428141
OG0000263	ADIR006757, ADIR005295	LOC134286972
OG0000265	ADIR008235, ADIR008228	LOC115253485, LOC109432322
OG0000265	ADIR001201	LOC109413251
OG0000266	ADIR006770	LOC109405673
OG0000266	ADIR000724, ADIR000723	LOC109401438
OG0000268	ADIR005898, ADIR005897	LOC109398343
OG0000268	ADIR005896	LOC115262167
OG0000269	ADIR016218	LOC109430310, LOC109430352, LOC109412453
OG0000270	ADIR001672, ADIR001921	LOC109400467
OG0000272	ADIR001841, ADIR001852	LOC134291341, LOC109418728
OG0000272	ADIR009159	LOC134291363
OG0000274	ADIR009412	LOC109399255, LOC109399254
OG0000275	ADIR010509	LOC134287955, LOC109412830, LOC134287948, LOC109412883
OG0000276	ADIR002281	LOC109424686, LOC109424707, LOC109424689, LOC134284290, LOC109424688
OG0000277	ADIR002721, ADIR002720	LOC134291511, LOC134284201
OG0000278	ADIR001634, ADIR001650, ADIR001649, ADIR001631	LOC109423828
OG0000279	ADIR000638	LOC115265811
OG0000279	ADIR000639	LOC109432444, LOC109432443
OG0000280	ADIR004761, ADIR004760	LOC109398599
OG0000285	ADIR002894	LOC109412583
OG0000285	ADIR015838, ADIR015839	LOC109412586
OG0000286	ADIR005642	LOC134288579, LOC109419311, LOC115265212, LOC109419306, LOC109419312, LOC109399258, LOC134291529
OG0000287	ADIR015574, ADIR015569, ADIR015568, ADIR015575	LOC109418186
OG0000288	ADIR006111, ADIR015495	LOC109622664, LOC109429650, LOC109407355, LOC109417774
OG0000289	ADIR016116, ADIR016115	LOC134289615, LOC134290940, LOC134289612
OG0000290	ADIR002288, ADIR002287	LOC109407690, LOC134283955, LOC115268390
OG0000291	ADIR007609	LOC109399285
OG0000291	ADIR015675	LOC115254554
OG0000292	ADIR009319	LOC134287964
OG0000292	ADIR009317	LOC134287045
OG0000293	ADIR000907	LOC109402618
OG0000293	ADIR008608	LOC109433336, LOC109402619
OG0000294	ADIR002675, ADIR002676	LOC109421880
OG0000294	ADIR005219	LOC109421875
OG0000295	ADIR016166, ADIR016165, ADIR016167, ADIR016169, ADIR016168	LOC109411828, LOC115264669, LOC109411823, LOC109411826, LOC115254136
OG0000297	ADIR015723	LOC115256454, LOC115256453
OG0000297	ADIR015724	LOC109427517
OG0000298	ADIR007480	LOC109433215, LOC109420107
OG0000298	ADIR014006	LOC109403440
OG0000299	ADIR010341	LOC109420459
OG0000299	ADIR002354	LOC109426283, LOC109426282
OG0000300	ADIR003683	LOC115264061
OG0000302	ADIR016215	LOC109409795, LOC109412825
OG0000302	ADIR008218	LOC109409797
OG0000303	ADIR005583	LOC109423438
OG0000304	ADIR010873	LOC115266210, LOC109622152
OG0000304	ADIR010872	LOC115255403
OG0000305	ADIR005190, ADIR010835, ADIR010833, ADIR010838, ADIR004507, ADIR004700, ADIR010836, ADIR010839, ADIR004701, ADIR010837, ADIR010841, ADIR010840, ADIR004506, ADIR010834	LOC109417728
OG0000306	ADIR010982, ADIR010985, ADIR010986, ADIR010984	LOC109427899, LOC115263988
OG0000317	ADIR008367	LOC109415509, LOC109400841, LOC109415510, LOC115261320
OG0000318	ADIR006689, ADIR007089	LOC115266503
OG0000319	ADIR004939	LOC109419083
OG0000319	ADIR007826	LOC109404744
OG0000320	ADIR005272, ADIR005235	LOC109622184, LOC109403189, LOC109622286, LOC115268871, LOC109403188, LOC109622183
OG0000321	ADIR015863, ADIR015862	LOC134285621
OG0000321	ADIR011556	LOC134285147
OG0000324	ADIR010906	LOC115268591
OG0000324	ADIR010907	LOC109621385
OG0000325	ADIR006976	LOC109402478, LOC109621375, LOC109410004
OG0000326	ADIR005565	LOC109406334
OG0000326	ADIR003426	LOC115257242
OG0000327	ADIR004793	LOC109407226
OG0000328	ADIR001956	LOC109410565
OG0000328	ADIR001957	LOC115268300
OG0000329	ADIR006061, ADIR003916	LOC109429565
OG0000329	ADIR006062	LOC109429983
OG0000330	ADIR001248	LOC109431569, LOC109431850
OG0000331	ADIR009969	LOC109428018
OG0000332	ADIR010199, ADIR010356, ADIR010198	LOC109405410
OG0000333	ADIR004150, ADIR004140, ADIR007959, ADIR003780	LOC109399400
OG0000334	ADIR004979	LOC134289025
OG0000336	ADIR004182	LOC109408655
OG0000336	ADIR004184	LOC109621296
OG0000344	ADIR008368	LOC109400802
OG0000344	ADIR001581	LOC109430839
OG0000346	ADIR002727	LOC109423283, LOC109428973, LOC109429007, LOC109408824
OG0000347	ADIR011568	LOC109432255, LOC109432313
OG0000348	ADIR005623	LOC115267667, LOC109432235
OG0000349	ADIR008567	LOC134284677
OG0000349	ADIR008566	LOC109621924
OG0000351	ADIR000179	LOC109431534
OG0000352	ADIR005371	LOC109430165, LOC109423357
OG0000352	ADIR004606	LOC109432136
OG0000353	ADIR007451	LOC134284734, LOC109413962, LOC109413964
OG0000354	ADIR002946	LOC109414751
OG0000354	ADIR010471	LOC109425341
OG0000355	ADIR006415	LOC115253987
OG0000357	ADIR010484, ADIR010483	LOC109425351
OG0000357	ADIR010481, ADIR010482	LOC109425349
OG0000359	ADIR008488	LOC109413693, LOC109413684, LOC109413685
OG0000360	ADIR001997	LOC109426006, LOC109426005, LOC115268035
OG0000361	ADIR002964	LOC109398309
