Orthogroup	AaegyptiLVP_AGWG	AstephensiUCISS2018
OG0000077	AAEL015022	ASTEI20_034638
OG0000079	AAEL023932, AAEL006498, AAEL006259	ASTEI20_040435, ASTEI20_038502, ASTEI20_045603
OG0000079	AAEL005621, AAEL005625, AAEL006484, AAEL024685	ASTEI20_045836
OG0000080	AAEL012700, AAEL012702	ASTEI20_045083
OG0000080	AAEL012698	ASTEI20_037839
OG0000080	AAEL008384, AAEL008386	ASTEI20_035820, ASTEI20_038748
OG0000081	AAEL013347	ASTEI20_044597
OG0000081	AAEL013349, AAEL013352, AAEL013346, AAEL013344, AAEL013348, AAEL013338	ASTEI20_033899, ASTEI20_041643, ASTEI20_041167
OG0000081	AAEL013341	ASTEI20_045891
OG0000082	AAEL019868	ASTEI20_035318
OG0000085	AAEL014439, AAEL014440, AAEL003971, AAEL003954	ASTEI20_033228, ASTEI20_037988, ASTEI20_039794
OG0000086	AAEL012778	ASTEI20_036600
OG0000086	AAEL008163, AAEL008162, AAEL022247, AAEL019828	ASTEI20_036223, ASTEI20_035207, ASTEI20_037451
OG0000086	AAEL009108	ASTEI20_043950
OG0000088	AAEL001517	ASTEI20_042317
OG0000088	AAEL000546, AAEL000530, AAEL000545, AAEL008532, AAEL004724	ASTEI20_035957, ASTEI20_030868
OG0000089	AAEL008252, AAEL022849	ASTEI20_035269
OG0000089	AAEL001151	ASTEI20_031474, ASTEI20_033656, ASTEI20_034314, ASTEI20_038747
OG0000089	AAEL001146	ASTEI20_043719
OG0000090	AAEL003723, AAEL003712	ASTEI20_044859, ASTEI20_033811
OG0000090	AAEL017132	ASTEI20_037367, ASTEI20_042053
OG0000090	AAEL015404	ASTEI20_044104, ASTEI20_039435
OG0000091	AAEL007010, AAEL021861, AAEL007024	ASTEI20_043825
OG0000096	AAEL002851	ASTEI20_039679
OG0000096	AAEL019894	ASTEI20_033293
OG0000096	AAEL005052	ASTEI20_044580
OG0000096	AAEL002848	ASTEI20_044690
OG0000097	AAEL029014	ASTEI20_043690
OG0000098	AAEL014140, AAEL014137, AAEL022822	ASTEI20_030897, ASTEI20_032470, ASTEI20_035940
OG0000104	AAEL002669, AAEL002666, AAEL002658	ASTEI20_031093
OG0000104	AAEL002668, AAEL006823	ASTEI20_031442, ASTEI20_031279
OG0000107	AAEL014731, AAEL007754, AAEL004928	ASTEI20_032780, ASTEI20_041111, ASTEI20_036614
OG0000108	AAEL026025, AAEL026981, AAEL019469, AAEL019471, AAEL019470, AAEL029074, AAEL010435, AAEL013118, AAEL009166, AAEL013127, AAEL009165	ASTEI20_031790, ASTEI20_039367
OG0000109	AAEL018267	ASTEI20_035723
